frequency_hz,radial_spacing_km,attenuation_db_per_mm,phase_velocity_fraction_c,attenuation_error_db_per_mm,phase_velocity_error_fraction_c,beta_real_rad_per_m,beta_imag_rad_per_m,eigen_residual
244.140625,0.625,4.52413575393,0.836621752044,0.000930892377211,2.92801342061e-08,6.11603645629e-06,-5.20860377284e-07,9.32607312021e-10
254.313151042,0.625,4.70551159068,0.838374821807,0.0009552101443,5.33506141487e-07,6.35754960387e-06,-5.4174204218e-07,6.68991286561e-10
264.485677083,0.625,4.88711699223,0.840059939342,0.00097839554949,1.02301790683e-06,6.59858854984e-06,-5.62650136701e-07,7.60353966402e-10
274.658203125,0.625,5.06898634118,0.841682258176,0.00100045441157,1.49868944077e-06,6.83917264699e-06,-5.8358861929e-07,7.40681891145e-10
284.830729167,0.625,5.25115207102,0.843246378755,0.00102139277463,1.9614090162e-06,7.07931964919e-06,-6.04561223988e-07,7.36148456938e-10
295.003255208,0.625,5.433644854,0.844756425511,0.00104121629123,2.4120844726e-06,7.31904588371e-06,-6.25571482072e-07,6.21902798411e-10
305.17578125,0.625,5.61649376656,0.84621611127,0.00105992580191,2.8516650834e-06,7.55836639642e-06,-6.46622741089e-07,6.55000228997e-10
315.348307292,0.625,5.79972642824,0.847628790856,0.00107751769919,3.28096806423e-06,7.7972950795e-06,-6.67718180855e-07,4.58469927027e-10
325.520833333,0.625,5.98336912378,0.848997505088,0.00109398299371,3.70078632328e-06,8.03584479335e-06,-6.88860827515e-07,5.39871478703e-10
335.693359375,0.625,6.16744690992,0.850325020318,0.00110930757642,4.11185996929e-06,8.2740274523e-06,-7.10053565831e-07,5.02443453157e-10
345.865885417,0.625,6.35198371471,0.851613860022,0.00112347280959,4.51485854047e-06,8.51185411889e-06,-7.31299150622e-07,4.61635328425e-10
356.038411458,0.625,6.53700241432,0.852866333309,0.00113645366952,4.91033507166e-06,8.74933507322e-06,-7.52600215604e-07,4.14081986542e-10
366.2109375,0.625,6.72252491544,0.854084558279,0.00114822471117,5.2988028667e-06,8.98647988543e-06,-7.73959282879e-07,3.90643921982e-10
376.383463542,0.625,6.90857221567,0.855270483285,0.00115875428691,5.68068152174e-06,9.22329746934e-06,-7.95378769884e-07,3.86414670038e-10
